epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS
4,1.6466657743453978,0.6978333333333333,0.7056,0.7008,0.7056,128,softmax,0.01,0.25,30,8,1000,20
5,1.6133492700576781,0.70845,0.7191,0.7154,0.7191,128,softmax,0.01,0.25,30,8,1000,20
6,1.5932127166112264,0.7164166666666667,0.7196,0.7228,0.7196,128,softmax,0.01,0.25,30,8,1000,20
7,1.5820243273417154,0.7207833333333333,0.7253,0.7264,0.7253,128,softmax,0.01,0.25,30,8,1000,20
8,1.5704777641296386,0.7236,0.7305,0.7311,0.7305,128,softmax,0.01,0.25,30,8,1000,20
9,1.562982807858785,0.7265666666666667,0.7307,0.7323,0.7307,128,softmax,0.01,0.25,30,8,1000,20
10,1.5575462058385212,0.7264833333333334,0.7358,0.735,0.7358,128,softmax,0.01,0.25,30,8,1000,20
11,1.5519160591761272,0.7289666666666667,0.7339,0.7343,0.7339,128,softmax,0.01,0.25,30,8,1000,20
12,1.5482649048487345,0.72775,0.7324,0.7369,0.7324,128,softmax,0.01,0.25,30,8,1000,20
13,1.5455157964070638,0.7313,0.7404,0.7394,0.7404,128,softmax,0.01,0.25,30,8,1000,20
14,1.5424469172795614,0.73585,0.7416,0.7444,0.7416,128,softmax,0.01,0.25,30,8,1000,20
15,1.5385140929539998,0.7365833333333334,0.7418,0.7424,0.7418,128,softmax,0.01,0.25,30,8,1000,20
16,1.53589240137736,0.7385166666666667,0.7445,0.7431,0.7445,128,softmax,0.01,0.25,30,8,1000,20
17,1.5341297465006511,0.7397833333333333,0.7463,0.747,0.7463,128,softmax,0.01,0.25,30,8,1000,20
18,1.532027725982666,0.7418166666666667,0.7471,0.7475,0.7471,128,softmax,0.01,0.25,30,8,1000,20
19,1.5311123328526814,0.7417833333333334,0.7485,0.748,0.7485,128,softmax,0.01,0.25,30,8,1000,20
20,1.5298047226587932,0.7417666666666667,0.7476,0.7479,0.7476,128,softmax,0.01,0.25,30,8,1000,20
epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
1,2.301674734624227,0.11175,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,8,1000,20,learned
epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
2,2.3016181420644126,0.11188333333333333,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,8,1000,20,learned
epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
3,2.3015224194844563,0.11236666666666667,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,8,1000,20,learned
