epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS
9,461554541978.8708,0.2253,0.1611,0.2267,0.1611,128,sparsemax,0.01,0.25,100,10,18000,20
10,187891746.85619888,0.21982,0.1648,0.2261,0.1648,128,sparsemax,0.01,0.25,100,10,18000,20
1,2.3046822830200195,0.10382,0.153,0.1132,0.153,128,sparsemax,0.01,0.25,100,10,18000,20
2,2.280159312362671,0.13506,0.1505,0.1758,0.1505,128,sparsemax,0.01,0.25,100,10,18000,20
3,2.234458783187866,0.169,0.1521,0.1987,0.1521,128,sparsemax,0.01,0.25,100,10,18000,20
4,2.1635428623962403,0.21092,0.1583,0.2122,0.1583,128,sparsemax,0.01,0.25,100,10,18000,20
5,2.111146661453247,0.23814,0.1617,0.2546,0.1617,128,sparsemax,0.01,0.25,100,10,18000,20
6,2.074063139190674,0.26232,0.1641,0.2717,0.1641,128,sparsemax,0.01,0.25,100,10,18000,20
7,2.042364812088013,0.27438,0.1688,0.284,0.1688,128,sparsemax,0.01,0.25,100,10,18000,20
8,2.017112943725586,0.28276,0.1733,0.2899,0.1733,128,sparsemax,0.01,0.25,100,10,18000,20
9,1.9911192895507812,0.2924,0.1781,0.3,0.1781,128,sparsemax,0.01,0.25,100,10,18000,20
10,1.965269910583496,0.30194,0.1815,0.3044,0.1815,128,sparsemax,0.01,0.25,100,10,18000,20
11,1.9401678067398072,0.312,0.1831,0.3142,0.1831,128,sparsemax,0.01,0.25,100,10,18000,20
1,2.3317045582580564,0.09932,0.1071,0.1,0.1071,128,gumbel_softmax,0.01,1,100,12,256000,20
2,2.327966264266968,0.10056,0.0958,0.1,0.0958,128,gumbel_softmax,0.01,1,100,12,256000,20
3,2.3273303888702395,0.0994,0.1011,0.1,0.1011,128,gumbel_softmax,0.01,1,100,12,256000,20
4,2.3273543479156493,0.09794,0.1166,0.1,0.1166,128,gumbel_softmax,0.01,1,100,12,256000,20
5,2.328111071166992,0.1002,0.1023,0.1,0.1023,128,gumbel_softmax,0.01,1,100,12,256000,20
6,2.325847209472656,0.10208,0.0998,0.1,0.0998,128,gumbel_softmax,0.01,1,100,12,256000,20
7,2.3225503873443603,0.0995,0.0961,0.1,0.0961,128,gumbel_softmax,0.01,1,100,12,256000,20
8,2.3262777809143067,0.09732,0.0875,0.1,0.0875,128,gumbel_softmax,0.01,1,100,12,256000,20
9,2.3209791416931154,0.10008,0.0943,0.1,0.0943,128,gumbel_softmax,0.01,1,100,12,256000,20
10,2.319834777069092,0.09908,0.1102,0.1,0.1102,128,gumbel_softmax,0.01,1,100,12,256000,20
11,2.323956542739868,0.10276,0.1215,0.1,0.1215,128,gumbel_softmax,0.01,1,100,12,256000,20
12,2.3190976177978517,0.10286,0.113,0.1,0.113,128,gumbel_softmax,0.01,1,100,12,256000,20
13,2.319418293991089,0.10002,0.1023,0.1,0.1023,128,gumbel_softmax,0.01,1,100,12,256000,20
14,2.3186870347595216,0.10252,0.1227,0.1,0.1227,128,gumbel_softmax,0.01,1,100,12,256000,20
15,2.3194048585510254,0.10072,0.1146,0.1,0.1146,128,gumbel_softmax,0.01,1,100,12,256000,20
16,2.318260070953369,0.0982,0.1136,0.1,0.1136,128,gumbel_softmax,0.01,1,100,12,256000,20
17,2.317743251800537,0.09894,0.11,0.1,0.11,128,gumbel_softmax,0.01,1,100,12,256000,20
18,2.3179514279174804,0.10094,0.0985,0.1,0.0985,128,gumbel_softmax,0.01,1,100,12,256000,20
19,2.3160541663360594,0.10288,0.0984,0.1,0.0984,128,gumbel_softmax,0.01,1,100,12,256000,20
20,2.3169027777862548,0.09958,0.1007,0.1,0.1007,128,gumbel_softmax,0.01,1,100,12,256000,20
1,2.3346305222320556,0.10022,0.0894,0.1,0.0894,128,gumbel_softmax,0.01,1,100,12,256000,2000
2,2.3301646519470216,0.09936,0.09,0.1,0.09,128,gumbel_softmax,0.01,1,100,12,256000,2000
3,2.325496644897461,0.10042,0.0928,0.1,0.0928,128,gumbel_softmax,0.01,1,100,12,256000,2000
4,2.3249262157440187,0.09754,0.0903,0.1,0.0903,128,gumbel_softmax,0.01,1,100,12,256000,2000
5,2.330214836730957,0.09784,0.1003,0.1,0.1003,128,gumbel_softmax,0.01,1,100,12,256000,2000
6,2.326914105453491,0.10094,0.0971,0.1,0.0971,128,gumbel_softmax,0.01,1,100,12,256000,2000
7,2.325270048828125,0.10062,0.1037,0.1,0.1037,128,gumbel_softmax,0.01,1,100,12,256000,2000
8,2.3233842753601075,0.10024,0.0965,0.1,0.0965,128,gumbel_softmax,0.01,1,100,12,256000,2000
9,2.32381581199646,0.09718,0.0952,0.1,0.0952,128,gumbel_softmax,0.01,1,100,12,256000,2000
10,2.3231238429260253,0.10114,0.0976,0.1,0.0976,128,gumbel_softmax,0.01,1,100,12,256000,2000
11,2.321469585418701,0.09958,0.1068,0.1,0.1068,128,gumbel_softmax,0.01,1,100,12,256000,2000
12,2.318861267929077,0.09972,0.0976,0.1,0.0976,128,gumbel_softmax,0.01,1,100,12,256000,2000
13,2.322218414916992,0.09788,0.0971,0.1,0.0971,128,gumbel_softmax,0.01,1,100,12,256000,2000
14,2.3199992015075686,0.10076,0.1002,0.1,0.1002,128,gumbel_softmax,0.01,1,100,12,256000,2000
15,2.319540855178833,0.1007,0.0929,0.1,0.0929,128,gumbel_softmax,0.01,1,100,12,256000,2000
16,2.3163989973449706,0.09988,0.1046,0.1,0.1046,128,gumbel_softmax,0.01,1,100,12,256000,2000
17,2.3180525727844237,0.0985,0.0976,0.1,0.0976,128,gumbel_softmax,0.01,1,100,12,256000,2000
18,2.319795203704834,0.09808,0.0998,0.1,0.0998,128,gumbel_softmax,0.01,1,100,12,256000,2000
19,2.3171039739227295,0.10104,0.1027,0.1,0.1027,128,gumbel_softmax,0.01,1,100,12,256000,2000
20,2.318006431045532,0.09702,0.1124,0.1,0.1124,128,gumbel_softmax,0.01,1,100,12,256000,2000
21,2.315311689300537,0.09984,0.1187,0.1,0.1187,128,gumbel_softmax,0.01,1,100,12,256000,2000
22,2.31577529045105,0.09662,0.1117,0.1,0.1117,128,gumbel_softmax,0.01,1,100,12,256000,2000
23,2.3149125802612303,0.09888,0.1063,0.1,0.1063,128,gumbel_softmax,0.01,1,100,12,256000,2000
24,2.3151488121795656,0.09958,0.1148,0.1,0.1148,128,gumbel_softmax,0.01,1,100,12,256000,2000
25,2.3129962187194826,0.1004,0.1051,0.1,0.1051,128,gumbel_softmax,0.01,1,100,12,256000,2000
26,2.3153092797851564,0.09906,0.0955,0.1,0.0955,128,gumbel_softmax,0.01,1,100,12,256000,2000
27,2.3128306416320803,0.09942,0.1005,0.1,0.1005,128,gumbel_softmax,0.01,1,100,12,256000,2000
28,2.312264543609619,0.10132,0.102,0.1,0.102,128,gumbel_softmax,0.01,1,100,12,256000,2000
29,2.312209551849365,0.09724,0.098,0.1,0.098,128,gumbel_softmax,0.01,1,100,12,256000,2000
30,2.3121996421813966,0.09812,0.1004,0.1,0.1004,128,gumbel_softmax,0.01,1,100,12,256000,2000
31,2.3119016788482667,0.10176,0.0938,0.1,0.0938,128,gumbel_softmax,0.01,1,100,12,256000,2000
32,2.3013545823669435,0.1108,0.0967,0.1276,0.0967,128,gumbel_softmax,0.01,1,100,12,256000,2000
33,2.280227577972412,0.12678,0.0964,0.1401,0.0964,128,gumbel_softmax,0.01,1,100,12,256000,2000
34,2.262191577606201,0.13724,0.1008,0.1491,0.1008,128,gumbel_softmax,0.01,1,100,12,256000,2000
35,2.244613207244873,0.14588,0.0962,0.1472,0.0962,128,gumbel_softmax,0.01,1,100,12,256000,2000
36,2.2274411543273924,0.15538,0.0934,0.1573,0.0934,128,gumbel_softmax,0.01,1,100,12,256000,2000
37,2.2208191955566408,0.15736,0.0931,0.1314,0.0931,128,gumbel_softmax,0.01,1,100,12,256000,2000
38,2.2142052905273437,0.16086,0.0981,0.1718,0.0981,128,gumbel_softmax,0.01,1,100,12,256000,2000
39,2.2064497805786134,0.16412,0.1017,0.1682,0.1017,128,gumbel_softmax,0.01,1,100,12,256000,2000
40,2.19917143447876,0.16576,0.0993,0.1633,0.0993,128,gumbel_softmax,0.01,1,100,12,256000,2000
41,2.193594038696289,0.17162,0.0999,0.169,0.0999,128,gumbel_softmax,0.01,1,100,12,256000,2000
42,2.18990179977417,0.17442,0.0981,0.1661,0.0981,128,gumbel_softmax,0.01,1,100,12,256000,2000
43,2.1860578156280517,0.1723,0.1044,0.1736,0.1044,128,gumbel_softmax,0.01,1,100,12,256000,2000
44,2.1842147565460204,0.17416,0.0962,0.1648,0.0962,128,gumbel_softmax,0.01,1,100,12,256000,2000
45,2.1786407082366943,0.18046,0.1008,0.1935,0.1008,128,gumbel_softmax,0.01,1,100,12,256000,2000
46,2.1594404739379884,0.20242,0.0961,0.2183,0.0961,128,gumbel_softmax,0.01,1,100,12,256000,2000
47,2.1406225942230224,0.21748,0.1026,0.2352,0.1026,128,gumbel_softmax,0.01,1,100,12,256000,2000
48,2.126712929420471,0.21966,0.0989,0.2111,0.0989,128,gumbel_softmax,0.01,1,100,12,256000,2000
49,2.119534090423584,0.22638,0.0996,0.2437,0.0996,128,gumbel_softmax,0.01,1,100,12,256000,2000
50,2.11263825378418,0.22766,0.0935,0.2429,0.0935,128,gumbel_softmax,0.01,1,100,12,256000,2000
51,2.109082003097534,0.23156,0.099,0.2269,0.099,128,gumbel_softmax,0.01,1,100,12,256000,2000
52,2.10459509475708,0.23592,0.1024,0.2168,0.1024,128,gumbel_softmax,0.01,1,100,12,256000,2000
53,2.0979525695037844,0.24036,0.1065,0.2521,0.1065,128,gumbel_softmax,0.01,1,100,12,256000,2000
54,2.0897653734588624,0.24548,0.1123,0.2518,0.1123,128,gumbel_softmax,0.01,1,100,12,256000,2000
55,2.0825149225616455,0.24698,0.11,0.2359,0.11,128,gumbel_softmax,0.01,1,100,12,256000,2000
56,2.074569650192261,0.25104,0.109,0.2567,0.109,128,gumbel_softmax,0.01,1,100,12,256000,2000
57,2.0690263661193846,0.25376,0.1065,0.2634,0.1065,128,gumbel_softmax,0.01,1,100,12,256000,2000
