epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
2,1.6642054324467976,0.7366333333333334,0.7462,0.7453,0.7462,128,sparsemax,0.01,0.25,30,4,1000,20,learned
3,1.6641277109146118,0.7373333333333333,0.7459,0.7447,0.7459,128,sparsemax,0.01,0.25,30,4,1000,20,learned
1,1.5267247304916383,0.6290166666666667,0.8192,0.8193,0.8192,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
2,1.1056353563944499,0.8173833333333334,0.8323,0.8323,0.8323,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
3,1.074990726661682,0.8271833333333334,0.8385,0.8382,0.8385,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
4,1.0600785224278768,0.8327666666666667,0.8433,0.8433,0.8433,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
5,1.0528831042607625,0.8349,0.8432,0.8431,0.8432,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
6,1.0471560560862223,0.8343833333333334,0.8437,0.8437,0.8437,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
7,1.043043473148346,0.8351666666666666,0.8432,0.8432,0.8432,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
8,1.0396943864186605,0.8367166666666667,0.8451,0.8451,0.8451,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
9,1.036199166806539,0.8372666666666667,0.8465,0.8465,0.8465,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
10,1.0336343760490418,0.83905,0.847,0.847,0.847,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
11,1.0317454306920368,0.83965,0.8475,0.8475,0.8475,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
12,1.0297972655614218,0.8401833333333333,0.85,0.85,0.85,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
13,1.026659764989217,0.84145,0.8506,0.8506,0.8506,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
14,1.024527348136902,0.8426166666666667,0.8504,0.8504,0.8504,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
15,1.0226427563349405,0.84305,0.8523,0.8523,0.8523,128,sparsemax_noise,0.01,0.25,30,4,1000,20,learned
1,1.9051120035807292,0.6247666666666667,0.7479,0.7511,0.7479,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
2,1.7509154182434081,0.7440333333333333,0.7675,0.759,0.7675,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
3,1.7384608901977538,0.7490333333333333,0.7601,0.7647,0.7601,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
4,1.7331087610880533,0.7518333333333334,0.7634,0.7649,0.7634,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
5,1.731245712216695,0.7520166666666667,0.7617,0.7642,0.7617,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
6,1.7300049309412637,0.75165,0.7593,0.7646,0.7593,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
7,1.728564535967509,0.75055,0.7647,0.7649,0.7647,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
8,1.72797165406545,0.7537,0.7697,0.7677,0.7697,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
9,1.7275391456604003,0.7527666666666667,0.7646,0.7682,0.7646,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
10,1.7269392443974814,0.75205,0.7737,0.7698,0.7737,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
11,1.726672415415446,0.7520333333333333,0.7731,0.7713,0.7731,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
12,1.7266161747614543,0.7539,0.7667,0.7696,0.7667,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
13,1.726455114173889,0.7541,0.7672,0.7673,0.7672,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
14,1.72647156569163,0.7533166666666666,0.7674,0.7675,0.7674,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
15,1.72647827167511,0.7530833333333333,0.7684,0.7682,0.7684,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
16,1.7264643176396688,0.75305,0.7684,0.7683,0.7684,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
17,1.7263791429519653,0.7541,0.7687,0.7711,0.7687,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
18,1.7263901079177857,0.7545,0.769,0.7682,0.769,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
19,1.7262255194981893,0.7539333333333333,0.7687,0.7674,0.7687,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
20,1.7260741031010947,0.7521666666666667,0.7698,0.7691,0.7698,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
1,1.7259497581481933,0.7531166666666667,0.771,0.7691,0.771,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
2,1.7259364665349324,0.7544166666666666,0.7708,0.7697,0.7708,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
3,1.7258892183303833,0.7540833333333333,0.7698,0.7698,0.7698,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
4,1.7258996805826823,0.75315,0.771,0.7706,0.771,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
5,1.725907807858785,0.7538833333333333,0.7698,0.7708,0.7698,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
6,1.725915098508199,0.7537333333333334,0.7696,0.7697,0.7696,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
7,1.7259012069066366,0.7547,0.7691,0.7704,0.7691,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
8,1.7258992600123089,0.7547,0.7698,0.7707,0.7698,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
9,1.7258979552586873,0.7535833333333334,0.7685,0.7697,0.7685,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
10,1.7259000394185384,0.75285,0.7685,0.7699,0.7685,128,sparsemax_noise,0.01,0.25,30,4,1000,20,random
1,1.9357777104059855,0.5419,0.7807,0.7812,0.7807,128,softmax,0.01,0.25,30,4,1000,20,random
2,1.55071010278066,0.7791,0.7955,0.7964,0.7955,128,softmax,0.01,0.25,30,4,1000,20,random
3,1.5147787192662556,0.7889666666666667,0.8052,0.8047,0.8052,128,softmax,0.01,0.25,30,4,1000,20,random
4,1.501950645128886,0.7946333333333333,0.8084,0.8094,0.8084,128,softmax,0.01,0.25,30,4,1000,20,random
5,1.4953872224807738,0.79745,0.8086,0.8113,0.8086,128,softmax,0.01,0.25,30,4,1000,20,random
6,1.491214509010315,0.7982166666666667,0.8108,0.8132,0.8108,128,softmax,0.01,0.25,30,4,1000,20,random
7,1.4883955704371135,0.7984,0.811,0.8129,0.811,128,softmax,0.01,0.25,30,4,1000,20,random
8,1.4864980154037475,0.7986333333333333,0.8096,0.8125,0.8096,128,softmax,0.01,0.25,30,4,1000,20,random
9,1.4850853378295898,0.7992833333333333,0.8109,0.8139,0.8109,128,softmax,0.01,0.25,30,4,1000,20,random
